airline,country,n_flights_in,n_passengers_in,n_seats_in,n_flights_out,n_passengers_out,year,month
Scoot,Singapore,79,24614,27627,79,21096,2017,7
Scoot Tigerair,Singapore,21,6763,7257,22,5108,2017,7
Sichuan Airlines,China,22,4981,5825,22,3195,2017,7
Silk Air,Singapore,44,6539,7128,44,5295,2017,7
Singapore Airlines,New Zealand,27,2982,4788,26,2576,2017,7
Singapore Airlines,Singapore,589,158005,170382,590,137131,2017,7
Solomon Airlines,Solomon Islands,18,1623,2448,19,1564,2017,7
South African Airways,South Africa,31,7210,7895,31,6034,2017,7
Tasman Cargo Airlines,New Zealand,22,NA,NA,22,NA,2017,7
Thai Airways International,Thailand,173,50978,54376,173,42410,2017,7
United Airlines,USA,93,20909,23436,91,18419,2017,7
United Parcel Service,China,NA,NA,NA,23,NA,2017,7
United Parcel Service,Singapore,NA,NA,NA,4,NA,2017,7
United Parcel Service,USA,26,NA,NA,NA,NA,2017,7
Vietnam Airlines,Vietnam,76,18618,21046,76,16816,2017,7
Virgin Australia,Fiji,98,14488,18598,98,13586,2017,7
Virgin Australia,Hong Kong (SAR),19,4618,5225,19,3206,2017,7
Virgin Australia,Indonesia,88,12572,15488,87,11821,2017,7
Virgin Australia,New Zealand,386,52195,67774,388,48293,2017,7
Virgin Australia,Papua New Guinea,25,1482,4388,25,1727,2017,7
Virgin Australia,Solomon Islands,8,701,1402,8,639,2017,7
Virgin Australia,Tonga,8,1075,1408,9,958,2017,7
Virgin Australia,USA,80,23706,27120,80,23263,2017,7
Virgin Australia,Vanuatu,19,2829,3338,19,2718,2017,7
Virgin Samoa,Western Samoa,18,2138,3168,17,2139,2017,7
Xiamen Airlines,China,43,8774,10135,43,5980,2017,7
Air Caledonie International,New Caledonia,36,5717,6526,36,4861,2017,8
Air Canada,Canada,62,14387,17014,62,15067,2017,8
Air China,China,71,13122,17695,71,13178,2017,8
Air India,India,30,6048,7680,30,5706,2017,8
Air Mauritius,Mauritius,13,2093,3575,13,2347,2017,8
Air New Zealand,Cook Islands,4,1036,1208,4,1088,2017,8
Air New Zealand,New Zealand,615,100119,132126,614,101779,2017,8
Air Niugini,Papua New Guinea,109,6551,13751,108,7393,2017,8
Air Vanuatu,Vanuatu,34,4530,5780,35,4328,2017,8
AirAsia X,Malaysia,234,67942,88218,234,58615,2017,8
AirAsia X,New Zealand,31,7617,11687,31,9080,2017,8
All Nippon Airways,Japan,31,5641,7415,31,6338,2017,8
American Airlines,USA,31,7987,9610,31,9060,2017,8
Asiana Airlines,Korea,31,7265,9393,31,7561,2017,8
Batik Air Indonesia,Indonesia,62,6035,11160,62,5554,2017,8
Beijing Capital Airlines,China,14,2090,3108,13,2329,2017,8
British Airways,UK,31,7066,9207,31,7526,2017,8
Cathay Pacific Airways,Hong Kong (SAR),332,69982,89831,332,80297,2017,8
Cebu Pacific Air,Philippines,18,6142,7848,18,5267,2017,8
China Airlines,New Zealand,16,3592,4912,16,3741,2017,8
China Airlines,Taiwan,44,10667,13200,44,11668,2017,8
China Eastern Airlines,China,157,26180,36212,157,28609,2017,8
China Southern Airlines,China,213,46438,56944,213,46209,2017,8
Delta Air Lines,USA,31,7669,9021,31,8635,2017,8
Emirates,New Zealand,92,21319,45637,92,20457,2017,8
Emirates,United Arab Emirates,354,110758,149292,354,117065,2017,8
Etihad Airways,United Arab Emirates,186,56181,69626,186,60094,2017,8
Eva Air,Taiwan,22,4809,5544,22,4974,2017,8
Federal Express Corporation,China,NA,NA,NA,27,NA,2017,8
Federal Express Corporation,USA,27,NA,NA,NA,NA,2017,8
Fiji Airways,Fiji,133,21380,24610,133,21784,2017,8
Garuda Indonesia,Indonesia,120,22587,26385,120,23038,2017,8
Hainan Airlines,China,36,6459,9098,36,7938,2017,8
Hawaiian Airlines,USA,44,7699,12188,44,9576,2017,8
Hong Kong Airlines,Hong Kong (SAR),22,3605,6424,22,4712,2017,8
Indonesia AirAsia,Indonesia,110,15429,19800,110,16854,2017,8
Japan Airlines,Japan,31,5132,6045,31,5545,2017,8
Jetstar,Fiji,17,2782,3060,17,2604,2017,8
Jetstar,Indonesia,249,54702,59235,250,54135,2017,8
Jetstar,Japan,93,23533,31155,93,25853,2017,8
Jetstar,New Zealand,242,34383,43560,242,33676,2017,8
Jetstar,Singapore,53,11581,12950,53,11132,2017,8
Jetstar,Thailand,49,14057,16415,49,12919,2017,8
Jetstar,USA,39,11635,13065,39,11656,2017,8
Jetstar,Vietnam,30,8327,10050,30,7013,2017,8
Jetstar Asia,Singapore,68,9254,12240,68,9088,2017,8
Korean Air,Korea,49,10612,13107,49,11933,2017,8
LATAM Airlines,Chile,31,6644,9300,31,6635,2017,8
Malaysia Airlines,Malaysia,182,41368,49307,178,35746,2017,8
Malindo Air,Malaysia,74,8490,12024,74,7509,2017,8
Nauru Airlines,Nauru,9,535,1152,14,700,2017,8
Pacific Air Express,Papua New Guinea,5,NA,NA,5,NA,2017,8
Pacific Air Express,Solomon Islands,2,NA,NA,2,NA,2017,8
Philippine Airlines,New Zealand,18,1405,2832,18,1827,2017,8
Philippine Airlines,Philippines,79,11602,18737,80,10566,2017,8
Polar Air Cargo,China,NA,NA,NA,8,NA,2017,8
Polar Air Cargo,Japan,14,NA,NA,10,NA,2017,8
Polar Air Cargo,USA,4,NA,NA,NA,NA,2017,8
Qantas Airways,Chile,18,5304,6541,18,5162,2017,8
Qantas Airways,China,62,13485,16679,63,14073,2017,8
Qantas Airways,Hong Kong (SAR),125,27574,39545,127,32759,2017,8
Qantas Airways,Indonesia,48,8878,9629,48,8446,2017,8
Qantas Airways,Japan,93,23544,29644,93,24646,2017,8
Qantas Airways,New Caledonia,16,2591,2784,16,2251,2017,8
Qantas Airways,New Zealand,527,68638,92067,527,69239,2017,8
Qantas Airways,Papua New Guinea,31,3526,5270,31,2751,2017,8
Qantas Airways,Philippines,26,6117,6803,26,5450,2017,8
Qantas Airways,Singapore,164,36309,41315,165,32975,2017,8
Qantas Airways,South Africa,26,7735,9398,26,7593,2017,8
Qantas Airways,Thailand,31,7968,9193,34,7652,2017,8
Qantas Airways,UK,62,25559,30007,62,26083,2017,8
Qantas Airways,USA,178,56754,65711,180,60924,2017,8
Qatar Airways,Qatar,115,41769,49378,115,46156,2017,8
Royal Brunei Airlines,Brunei,31,4784,7874,31,5645,2017,8
Scoot Tigerair,Singapore,62,17296,21348,61,15900,2017,8
Sichuan Airlines,China,22,3841,5970,22,4499,2017,8
Silk Air,Singapore,45,5397,7290,45,6549,2017,8
Singapore Airlines,New Zealand,26,1986,4256,22,2117,2017,8
Singapore Airlines,Singapore,600,134759,173197,602,132392,2017,8
Solomon Airlines,Solomon Islands,18,1350,2448,19,1339,2017,8
South African Airways,South Africa,31,5049,7835,31,5427,2017,8
Tasman Cargo Airlines,New Zealand,23,NA,NA,23,NA,2017,8
Thai Airways International,Thailand,173,43908,55777,172,42422,2017,8
United Airlines,USA,91,17281,22932,91,20059,2017,8
United Parcel Service,China,NA,NA,NA,22,NA,2017,8
United Parcel Service,Singapore,NA,NA,NA,4,NA,2017,8
United Parcel Service,USA,27,NA,NA,NA,NA,2017,8
Vietnam Airlines,Vietnam,71,13553,19528,71,12154,2017,8
Virgin Australia,Fiji,97,14253,18038,97,13730,2017,8
Virgin Australia,Hong Kong (SAR),23,3269,6325,23,4725,2017,8
Virgin Australia,Indonesia,86,12794,15136,87,12187,2017,8
Virgin Australia,New Zealand,373,46350,65468,372,47906,2017,8
Virgin Australia,Papua New Guinea,27,1408,4746,27,1583,2017,8
Virgin Australia,Solomon Islands,10,608,1754,10,631,2017,8
Virgin Australia,Tonga,10,1271,1760,9,1096,2017,8
Virgin Australia,USA,78,20111,26442,79,24448,2017,8
Virgin Australia,Vanuatu,17,2478,2992,17,2482,2017,8
Virgin Samoa,Western Samoa,13,1718,2288,13,1746,2017,8
Xiamen Airlines,China,38,6433,8959,37,5739,2017,8
Air Caledonie International,New Caledonia,29,4088,5700,31,4909,2017,9
Air Canada,Canada,60,14461,16498,59,12557,2017,9
Air China,China,74,13381,18998,74,13811,2017,9
Air India,India,30,6203,7680,30,6099,2017,9
Air Mauritius,Mauritius,13,2294,3575,13,2440,2017,9
Air New Zealand,Cook Islands,5,1041,1530,4,1028,2017,9
Air New Zealand,New Zealand,599,101390,129084,597,104418,2017,9
Air Niugini,Papua New Guinea,110,8728,14104,111,8309,2017,9
Air Vanuatu,Vanuatu,35,5012,5950,35,5310,2017,9
AirAsia X,Malaysia,227,61377,85579,227,67684,2017,9
AirAsia X,New Zealand,30,8094,11310,30,9284,2017,9
All Nippon Airways,Japan,30,4998,7200,30,6203,2017,9
American Airlines,USA,30,7779,9300,30,8473,2017,9
Asiana Airlines,Korea,30,6897,9090,30,7022,2017,9
Batik Air Indonesia,Indonesia,60,6988,10800,60,7175,2017,9
Beijing Capital Airlines,China,13,1732,2886,13,2204,2017,9
British Airways,UK,30,7580,8910,30,7688,2017,9
Cathay Pacific Airways,Hong Kong (SAR),327,73342,87330,326,74485,2017,9
Cebu Pacific Air,Philippines,18,5833,7848,18,5441,2017,9
China Airlines,New Zealand,17,3999,5219,17,4626,2017,9
China Airlines,Taiwan,43,10128,12900,43,11261,2017,9
China Eastern Airlines,China,152,23997,35235,152,26223,2017,9
China Southern Airlines,China,205,43734,54852,205,46605,2017,9
Delta Air Lines,USA,30,7667,8730,30,7942,2017,9
Emirates,New Zealand,90,23860,44657,90,26565,2017,9
Emirates,United Arab Emirates,342,129023,146293,342,115851,2017,9
Etihad Airways,United Arab Emirates,180,60382,67252,180,54544,2017,9
Eva Air,Taiwan,18,3801,4536,18,4039,2017,9
Federal Express Corporation,China,NA,NA,NA,25,NA,2017,9
Federal Express Corporation,USA,25,NA,NA,NA,NA,2017,9
Fiji Airways,Fiji,143,22894,26874,141,24040,2017,9
Garuda Indonesia,Indonesia,133,24446,28598,133,25694,2017,9
Hainan Airlines,China,37,6955,9393,37,7230,2017,9
Hawaiian Airlines,USA,43,9524,11911,43,10402,2017,9
Hong Kong Airlines,Hong Kong (SAR),19,3539,5548,19,2956,2017,9
Indonesia AirAsia,Indonesia,107,16594,19260,107,14430,2017,9
Japan Airlines,Japan,60,8093,10680,59,9963,2017,9
Jetstar,Fiji,17,2725,3060,17,2779,2017,9
Jetstar,Indonesia,239,52850,56815,238,51416,2017,9
Jetstar,Japan,67,17120,22445,67,18020,2017,9
Jetstar,New Zealand,233,32855,42405,236,34569,2017,9
Jetstar,Singapore,53,11554,13105,53,11415,2017,9
Jetstar,Thailand,51,13947,17085,51,14468,2017,9
Jetstar,USA,41,12706,13735,41,12923,2017,9
Jetstar,Vietnam,28,7734,9380,29,8217,2017,9
Jetstar Asia,Singapore,70,9146,12600,69,9943,2017,9
Korean Air,Korea,47,13426,15478,47,11883,2017,9
LATAM Airlines,Chile,30,6196,9000,30,6621,2017,9
Malaysia Airlines,Malaysia,182,36757,46764,177,39503,2017,9
Malindo Air,Malaysia,73,8850,11970,73,9191,2017,9
Nauru Airlines,Nauru,14,722,1152,15,615,2017,9
Pacific Air Express,Papua New Guinea,8,NA,NA,8,NA,2017,9
Pacific Air Express,Solomon Islands,2,NA,NA,2,NA,2017,9
Philippine Airlines,New Zealand,15,1263,2764,15,1534,2017,9
Philippine Airlines,Philippines,75,11380,18826,75,12108,2017,9
Polar Air Cargo,China,NA,NA,NA,9,NA,2017,9
Polar Air Cargo,Japan,13,NA,NA,8,NA,2017,9
Polar Air Cargo,USA,5,NA,NA,NA,NA,2017,9
Qantas Airways,Chile,17,5344,6155,17,5560,2017,9
Qantas Airways,China,61,13258,16139,61,13778,2017,9
Qantas Airways,Hong Kong (SAR),117,29711,35215,117,29119,2017,9
Qantas Airways,Indonesia,50,8800,10189,50,8071,2017,9
Qantas Airways,Japan,90,22694,28665,90,25684,2017,9
Qantas Airways,New Caledonia,18,2565,3124,18,2779,2017,9
Qantas Airways,New Zealand,500,66138,89060,500,73085,2017,9
Qantas Airways,Papua New Guinea,30,3636,5099,30,3050,2017,9
Qantas Airways,Philippines,26,5996,6777,26,5525,2017,9
Qantas Airways,Singapore,163,35053,41152,163,35167,2017,9
Qantas Airways,South Africa,26,8897,9410,26,8164,2017,9
Qantas Airways,Thailand,30,7684,8901,33,7792,2017,9
Qantas Airways,UK,60,26479,29039,60,24615,2017,9
Qantas Airways,USA,183,58501,65714,182,58433,2017,9
Qatar Airways,Qatar,112,44155,47986,112,43617,2017,9
Royal Brunei Airlines,Brunei,30,5755,7620,30,5601,2017,9
Scoot Tigerair,Singapore,97,27149,33963,98,28704,2017,9
Sichuan Airlines,China,22,3700,5852,22,4629,2017,9
Silk Air,Singapore,34,4635,5508,34,4329,2017,9
Singapore Airlines,New Zealand,26,2478,4256,24,2553,2017,9
Singapore Airlines,Singapore,593,140539,170878,595,142891,2017,9
Solomon Airlines,Solomon Islands,17,1528,2312,18,1683,2017,9
South African Airways,South Africa,30,6358,7896,30,6698,2017,9
Tasman Cargo Airlines,New Zealand,21,NA,NA,21,NA,2017,9
Thai Airways International,Thailand,168,42905,54930,168,44090,2017,9
United Airlines,USA,90,18071,22680,89,18637,2017,9
United Parcel Service,China,NA,NA,NA,15,NA,2017,9
United Parcel Service,Korea,NA,NA,NA,6,NA,2017,9
United Parcel Service,Singapore,NA,NA,NA,5,NA,2017,9
United Parcel Service,USA,26,NA,NA,NA,NA,2017,9
Vietnam Airlines,Vietnam,71,14166,19491,71,14592,2017,9
Virgin Australia,Fiji,92,13586,17524,92,14072,2017,9
Virgin Australia,Hong Kong (SAR),21,3532,5775,21,3659,2017,9
Virgin Australia,Indonesia,86,12862,15136,85,11200,2017,9
Virgin Australia,New Zealand,375,46624,65862,375,49914,2017,9
Virgin Australia,Papua New Guinea,25,1555,4394,25,1703,2017,9
Virgin Australia,Solomon Islands,8,417,1408,8,524,2017,9
Virgin Australia,Tonga,8,1058,1408,8,1044,2017,9
Virgin Australia,USA,77,22379,26103,77,23277,2017,9
Virgin Australia,Vanuatu,17,2479,2992,17,2629,2017,9
Virgin Samoa,Western Samoa,15,1940,2640,16,2122,2017,9
Xiamen Airlines,China,36,5617,8487,37,6636,2017,9
Air Caledonie International,New Caledonia,36,5920,6705,35,5718,2017,10
Air Canada,Canada,56,13041,15659,57,8363,2017,10
Air China,China,88,16862,23761,88,17362,2017,10
Air India,India,31,7356,7936,31,6154,2017,10
Air Mauritius,Mauritius,13,2934,3575,13,2311,2017,10
Air New Zealand,Cook Islands,4,971,1208,4,1125,2017,10
Air New Zealand,New Zealand,638,113789,138615,639,115286,2017,10
Air Niugini,Papua New Guinea,112,7227,14371,109,5941,2017,10
Air Vanuatu,Vanuatu,36,5442,6120,36,4521,2017,10
AirAsia X,Malaysia,229,72918,86333,229,57736,2017,10
AirAsia X,New Zealand,31,9383,11687,31,10534,2017,10
All Nippon Airways,Japan,31,6349,7440,31,5703,2017,10
American Airlines,USA,31,9079,9610,31,7242,2017,10
Asiana Airlines,Korea,31,7011,9393,31,7183,2017,10
Batik Air Indonesia,Indonesia,62,7083,11160,62,4562,2017,10
Beijing Capital Airlines,China,14,2747,3108,14,2257,2017,10
British Airways,UK,31,8725,9207,31,6544,2017,10
Cathay Pacific Airways,Hong Kong (SAR),343,83525,93054,343,72549,2017,10
Cebu Pacific Air,Philippines,18,6914,7848,18,5911,2017,10
China Airlines,New Zealand,19,4887,5826,19,5509,2017,10
China Airlines,Taiwan,45,11802,13500,45,11624,2017,10
China Eastern Airlines,China,156,30318,36216,156,24850,2017,10
China Southern Airlines,China,214,51623,57362,214,49502,2017,10
Delta Air Lines,USA,29,7882,8439,29,6035,2017,10
Emirates,New Zealand,93,31404,46254,93,34807,2017,10
Emirates,United Arab Emirates,356,140635,151274,356,75542,2017,10
Etihad Airways,United Arab Emirates,185,63827,69265,185,35313,2017,10
Eva Air,Taiwan,17,3911,4284,17,3771,2017,10
Federal Express Corporation,China,NA,NA,NA,27,NA,2017,10
Federal Express Corporation,USA,27,NA,NA,NA,NA,2017,10
Fiji Airways,Fiji,149,25234,27765,149,23575,2017,10
Garuda Indonesia,Indonesia,146,27986,33398,146,25727,2017,10
Hainan Airlines,China,45,8985,11646,45,7116,2017,10
Hawaiian Airlines,USA,44,10971,12188,44,10145,2017,10
Hong Kong Airlines,Hong Kong (SAR),21,3695,6132,21,3993,2017,10
Indonesia AirAsia,Indonesia,110,16375,19800,110,16566,2017,10
Japan Airlines,Japan,62,10305,11036,62,9088,2017,10
Jetstar,Fiji,18,3136,3240,18,2721,2017,10
Jetstar,Indonesia,235,50818,56715,235,49278,2017,10
Jetstar,Japan,66,19082,22110,66,16933,2017,10
Jetstar,New Zealand,240,35941,43200,240,35698,2017,10
Jetstar,Singapore,49,10406,11610,50,9400,2017,10
Jetstar,Thailand,55,16791,18425,55,14850,2017,10
Jetstar,USA,38,12226,12730,38,11002,2017,10
Jetstar,Vietnam,30,8939,10050,30,7323,2017,10
Jetstar Asia,Singapore,67,10433,12060,67,9495,2017,10
Korean Air,Korea,50,13862,16557,50,12834,2017,10
LATAM Airlines,Chile,43,9001,12044,43,9002,2017,10
Malaysia Airlines,Malaysia,185,42335,47926,182,31849,2017,10
Malindo Air,Malaysia,76,9605,12420,76,7751,2017,10
Nauru Airlines,Nauru,17,693,1664,16,761,2017,10
Pacific Air Express,Papua New Guinea,8,NA,NA,8,NA,2017,10
Pacific Air Express,Solomon Islands,NA,NA,NA,3,NA,2017,10
Philippine Airlines,New Zealand,16,1578,2920,16,2366,2017,10
Philippine Airlines,Philippines,78,15289,19317,78,11357,2017,10
Polar Air Cargo,China,NA,NA,NA,8,NA,2017,10
Polar Air Cargo,Japan,12,NA,NA,8,NA,2017,10
Polar Air Cargo,USA,5,NA,NA,NA,NA,2017,10
Qantas Airways,Chile,18,6029,6177,18,5590,2017,10
Qantas Airways,China,62,14312,16678,62,13553,2017,10
Qantas Airways,Hong Kong (SAR),126,33946,37848,126,32441,2017,10
Qantas Airways,Indonesia,51,8707,10407,51,7395,2017,10
Qantas Airways,Japan,93,26837,29661,93,23316,2017,10
Qantas Airways,New Caledonia,18,2783,3132,18,2911,2017,10
Qantas Airways,New Zealand,536,77643,94014,537,80589,2017,10
Qantas Airways,Papua New Guinea,31,3736,5270,31,3501,2017,10
Qantas Airways,Philippines,26,6450,6776,26,5855,2017,10
Qantas Airways,Singapore,163,37819,40964,164,31406,2017,10
Qantas Airways,South Africa,26,9125,9454,26,7668,2017,10
Qantas Airways,Thailand,31,8405,9204,34,8273,2017,10
Qantas Airways,UK,61,27890,29519,61,18772,2017,10
Qantas Airways,USA,188,62894,67241,186,53982,2017,10
Qatar Airways,Qatar,115,46902,49378,115,26707,2017,10
Royal Brunei Airlines,Brunei,30,6392,7620,30,3966,2017,10
Scoot Tigerair,Singapore,91,30000,32387,90,25352,2017,10
Sichuan Airlines,China,22,4520,5854,22,4146,2017,10
Silk Air,Singapore,35,5277,5670,35,4293,2017,10
Singapore Airlines,New Zealand,24,2928,4522,25,3040,2017,10
Singapore Airlines,Singapore,603,154498,167294,601,128182,2017,10
Solomon Airlines,Solomon Islands,18,1707,2448,17,1711,2017,10
South African Airways,South Africa,31,6520,7835,31,5296,2017,10
SriLankan Airlines,Sri Lanka,2,486,594,2,407,2017,10
Tasman Cargo Airlines,New Zealand,22,NA,NA,22,NA,2017,10
Thai Airways International,Thailand,172,48556,54639,171,41648,2017,10
United Airlines,USA,93,20176,23403,92,14670,2017,10
United Parcel Service,China,NA,NA,NA,9,NA,2017,10
United Parcel Service,Korea,NA,NA,NA,13,NA,2017,10
United Parcel Service,Singapore,NA,NA,NA,4,NA,2017,10
United Parcel Service,USA,27,NA,NA,NA,NA,2017,10
Vietnam Airlines,Vietnam,75,15998,20587,75,13192,2017,10
Virgin Australia,Fiji,97,14671,17462,97,13330,2017,10
Virgin Australia,Hong Kong (SAR),22,4262,6050,22,3826,2017,10
Virgin Australia,Indonesia,86,10756,15136,85,9074,2017,10
Virgin Australia,New Zealand,365,48820,64060,365,50722,2017,10
Virgin Australia,Papua New Guinea,25,1502,4400,25,1655,2017,10
Virgin Australia,Solomon Islands,9,588,1584,9,626,2017,10
Virgin Australia,Tonga,9,1258,1584,9,1132,2017,10
Virgin Australia,USA,73,22122,24747,72,18134,2017,10
Virgin Australia,Vanuatu,17,2822,2992,17,2527,2017,10
Virgin Samoa,Western Samoa,15,1896,2640,15,1883,2017,10
Xiamen Airlines,China,38,7020,8958,38,5844,2017,10
Air Caledonie International,New Caledonia,37,5510,6793,37,5485,2017,11
Air Canada,Canada,58,12230,16185,58,12321,2017,11
Air China,China,102,19967,29026,102,21926,2017,11
Air India,India,30,6417,7680,30,6115,2017,11
Air Mauritius,Mauritius,13,2465,3575,13,2323,2017,11
Air New Zealand,Cook Islands,4,973,1248,4,1129,2017,11
Air New Zealand,New Zealand,601,109745,131711,600,112991,2017,11
Air Niugini,Papua New Guinea,106,6825,13903,107,6730,2017,11
Air Vanuatu,Vanuatu,29,3826,4930,29,3684,2017,11
AirAsia X,Malaysia,208,58290,78416,208,59188,2017,11
AirAsia X,New Zealand,30,8219,11310,30,9990,2017,11
All Nippon Airways,Japan,30,6128,7200,30,6371,2017,11
American Airlines,USA,30,7571,8520,30,7540,2017,11
Asiana Airlines,Korea,30,10902,14850,30,10010,2017,11
Batik Air Indonesia,Indonesia,54,3538,9720,53,2886,2017,11
Beijing Capital Airlines,China,26,3602,5772,26,4631,2017,11
British Airways,UK,30,7754,8910,30,7424,2017,11
Cathay Pacific Airways,Hong Kong (SAR),321,69509,91292,321,78888,2017,11
Cebu Pacific Air,Philippines,18,5580,7848,18,6566,2017,11
China Airlines,New Zealand,25,4981,7612,25,5756,2017,11
China Airlines,Taiwan,50,11623,15000,50,13081,2017,11
China Eastern Airlines,China,151,26439,34828,151,28080,2017,11
China Southern Airlines,China,200,46386,54847,200,50075,2017,11
Delta Air Lines,USA,27,7235,7857,27,6896,2017,11
Emirates,New Zealand,90,32156,44719,90,39179,2017,11
Emirates,United Arab Emirates,342,104236,145082,342,95605,2017,11
Etihad Airways,United Arab Emirates,180,42543,66450,180,45405,2017,11
Eva Air,Taiwan,17,3247,4284,17,3566,2017,11
Federal Express Corporation,China,NA,NA,NA,26,NA,2017,11
Federal Express Corporation,USA,26,NA,NA,NA,NA,2017,11
Fiji Airways,Fiji,122,21012,23008,122,20620,2017,11
Garuda Indonesia,Indonesia,130,22295,31130,130,23620,2017,11
Hainan Airlines,China,43,7170,11252,43,8329,2017,11
Hawaiian Airlines,USA,43,9097,11911,43,9896,2017,11
Hong Kong Airlines,Hong Kong (SAR),13,2463,3796,13,2620,2017,11
Indonesia AirAsia,Indonesia,92,12301,16560,92,11872,2017,11
Japan Airlines,Japan,60,9837,10680,60,10075,2017,11
Jetstar,Fiji,17,2996,3060,17,2710,2017,11
Jetstar,Indonesia,203,44545,48940,193,41651,2017,11
Jetstar,Japan,73,19675,24455,73,20687,2017,11
Jetstar,New Zealand,232,35438,41760,234,37347,2017,11
Jetstar,Singapore,40,8389,9525,41,8825,2017,11
Jetstar,Thailand,42,12528,14070,42,12436,2017,11
Jetstar,USA,34,10546,11390,34,10199,2017,11
Jetstar,Vietnam,30,7644,10050,30,8817,2017,11
Jetstar Asia,Singapore,64,9499,11520,64,9447,2017,11
Korean Air,Korea,51,13293,17787,51,13379,2017,11
LATAM Airlines,Chile,43,8927,12900,42,9169,2017,11
Malaysia Airlines,Malaysia,179,34742,45474,177,34932,2017,11
Malindo Air,Malaysia,76,8208,12348,76,8081,2017,11
Nauru Airlines,Nauru,22,564,2176,23,692,2017,11
Pacific Air Express,Papua New Guinea,NA,NA,NA,4,NA,2017,11
Pacific Air Express,Solomon Islands,3,NA,NA,3,NA,2017,11
Philippine Airlines,New Zealand,17,2049,2676,17,2349,2017,11
Philippine Airlines,Philippines,77,12075,18381,77,13085,2017,11
Polar Air Cargo,China,NA,NA,NA,8,NA,2017,11
Polar Air Cargo,Japan,14,NA,NA,5,NA,2017,11
Polar Air Cargo,Taiwan,NA,NA,NA,4,NA,2017,11
Polar Air Cargo,USA,4,NA,NA,NA,NA,2017,11
Qantas Airways,Chile,17,5559,5944,17,5666,2017,11
Qantas Airways,China,60,13075,16084,60,13845,2017,11
Qantas Airways,Hong Kong (SAR),122,31002,37138,123,32976,2017,11
Qantas Airways,Indonesia,46,8230,9348,44,6869,2017,11
Qantas Airways,Japan,90,24808,28717,90,24792,2017,11
Qantas Airways,New Caledonia,16,2510,2784,16,2593,2017,11
Qantas Airways,New Zealand,507,75007,89364,507,78691,2017,11
Qantas Airways,Papua New Guinea,30,3479,5100,30,2944,2017,11
Qantas Airways,Philippines,21,4977,5421,21,5088,2017,11
Qantas Airways,Singapore,160,34885,39886,160,34612,2017,11
Qantas Airways,South Africa,23,7907,8359,23,6689,2017,11
Qantas Airways,Thailand,30,7617,8704,31,8057,2017,11
Qantas Airways,UK,57,21495,27588,57,20413,2017,11
Qantas Airways,USA,179,58170,63677,178,54164,2017,11
Qatar Airways,Qatar,111,32083,47703,111,34242,2017,11
Royal Brunei Airlines,Brunei,30,4231,7620,29,4420,2017,11
Scoot Tigerair,Singapore,93,29109,33235,93,29805,2017,11
Sichuan Airlines,China,21,3210,5814,21,5147,2017,11
Silk Air,Singapore,42,3975,6804,42,4779,2017,11
Singapore Airlines,New Zealand,25,3280,4522,29,3105,2017,11
Singapore Airlines,Singapore,588,126221,159869,585,133103,2017,11
Solomon Airlines,Solomon Islands,17,1548,2312,17,1492,2017,11
South African Airways,South Africa,30,4947,7580,30,5126,2017,11
SriLankan Airlines,Sri Lanka,30,6368,8490,30,6213,2017,11
Tasman Cargo Airlines,New Zealand,22,NA,NA,22,NA,2017,11
Thai Airways International,Thailand,167,38966,51585,167,41122,2017,11
Tianjin Airlines,China,13,1802,3380,13,2393,2017,11
United Airlines,USA,90,19131,22680,90,17756,2017,11
United Parcel Service,China,NA,NA,NA,8,NA,2017,11
United Parcel Service,Korea,NA,NA,NA,11,NA,2017,11
United Parcel Service,Singapore,NA,NA,NA,4,NA,2017,11
United Parcel Service,USA,26,NA,NA,NA,NA,2017,11
Vietnam Airlines,Vietnam,73,13722,20187,73,15337,2017,11
Virgin Australia,Fiji,82,12970,14426,82,12386,2017,11
Virgin Australia,Hong Kong (SAR),27,4192,7425,27,4976,2017,11
Virgin Australia,Indonesia,69,8840,12144,66,8536,2017,11
Virgin Australia,New Zealand,345,47332,60654,344,50736,2017,11
Virgin Australia,Papua New Guinea,24,1484,4224,24,1504,2017,11
Virgin Australia,Solomon Islands,9,563,1584,9,601,2017,11
Virgin Australia,Tonga,9,1174,1584,9,1173,2017,11
Virgin Australia,USA,64,16410,21696,65,16331,2017,11
Virgin Australia,Vanuatu,13,2010,2288,13,2033,2017,11
Virgin Australia,Western Samoa,7,902,1232,7,964,2017,11
Virgin Samoa,Western Samoa,6,786,1056,5,602,2017,11
Xiamen Airlines,China,39,6208,9195,38,6559,2017,11
Air Caledonie International,New Caledonia,43,7074,7479,43,5731,2017,12
Air Canada,Canada,80,15661,22400,79,19820,2017,12
Air China,China,122,27365,36693,122,32451,2017,12
Air India,India,31,6948,7936,32,7189,2017,12
Air Mauritius,Mauritius,17,3759,4775,17,4635,2017,12
Air New Zealand,Cook Islands,5,921,1520,5,1350,2017,12
Air New Zealand,New Zealand,707,115766,153093,706,126757,2017,12
Air Niugini,Papua New Guinea,105,9218,14064,105,8272,2017,12
Air Vanuatu,Vanuatu,39,4704,6630,39,5680,2017,12
AirAsia X,Malaysia,235,63911,88595,235,81028,2017,12
AirAsia X,New Zealand,31,9002,11687,31,9959,2017,12
All Nippon Airways,Japan,31,5699,7440,31,7130,2017,12
American Airlines,USA,31,7771,8804,31,8654,2017,12
